Number,Name,Type1,Type2,Abilities,HP,Attack,Defense,SpAtk,SpDef,Speed,BST,Mean,Std,Gen
25,Pikachu,Electric,,"['Lightning Rod', 'Static']",35,55,40,50,50,90,320,53.333333333333336,17.716909687891082,1.0
26,Raichu,Electric,,"['Lightning Rod', 'Static']",60,90,55,90,80,110,485,80.83333333333333,18.800856954464127,1.0
27,Sandshrew,Ground,,"['Sand Rush', 'Sand Veil']",50,75,85,20,30,40,300,50.0,23.27373340628157,1.0
28,Sandslash,Ground,,"['Sand Rush', 'Sand Veil']",75,100,110,45,55,65,450,75.0,23.27373340628157,1.0
29,Nidoran♀,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",55,47,52,40,40,41,275,45.833333333333336,5.983774357005413,1.0
30,Nidorina,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",70,62,67,55,55,56,365,60.833333333333336,5.983774357005413,1.0
31,Nidoqueen,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",90,92,87,75,85,76,505,84.16666666666667,6.517071598672383,1.0
32,Nidoran♂,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",46,57,40,40,40,50,273,45.5,6.370504951205464,1.0
33,Nidorino,Poison,,"['Hustle', 'Poison Point', 'Rivalry']",61,72,57,55,55,65,365,60.833333333333336,6.121455890735652,1.0
34,Nidoking,Poison,Ground,"['Poison Point', 'Rivalry', 'Sheer Force']",81,102,77,85,75,85,505,84.16666666666667,8.801830617673929,1.0
35,Clefairy,Fairy,,"['Cute Charm', 'Friend Guard', 'Magic Guard']",70,45,48,60,65,35,323,53.833333333333336,12.184917817622823,1.0
36,Clefable,Fairy,,"['Cute Charm', 'Magic Guard', 'Unaware']",95,70,73,95,90,60,483,80.5,13.524668819112232,1.0
37,Vulpix,Fire,,"['Drought', 'Flash Fire']",38,41,40,50,65,65,299,49.833333333333336,11.363929289153855,1.0
38,Ninetales,Fire,,"['Drought', 'Flash Fire']",73,76,75,81,100,100,505,84.16666666666667,11.451588924201255,1.0
39,Jigglypuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Friend Guard']",115,45,20,45,25,20,270,45.0,33.040379335998345,1.0
40,Wigglytuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Frisk']",140,70,45,85,50,45,435,72.5,33.509948771471834,1.0
41,Zubat,Poison,Flying,"['Infiltrator', 'Inner Focus']",40,45,35,30,40,55,245,40.833333333333336,7.861650943380503,1.0
42,Golbat,Poison,Flying,"['Infiltrator', 'Inner Focus']",75,80,70,65,75,90,455,75.83333333333333,7.861650943380503,1.0
43,Oddish,Grass,Poison,"['Chlorophyll', 'Run Away']",45,50,55,75,65,30,320,53.333333333333336,14.337208778404378,1.0
44,Gloom,Grass,Poison,"['Chlorophyll', 'Stench']",60,65,70,85,75,40,395,65.83333333333333,13.969212178533509,1.0
45,Vileplume,Grass,Poison,"['Chlorophyll', 'Effect Spore']",75,80,85,110,90,50,490,81.66666666666667,17.950549357115012,1.0
46,Paras,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",35,70,55,45,55,25,285,47.5,14.648663192705788,1.0
47,Parasect,Bug,Grass,"['Damp', 'Dry Skin', 'Effect Spore']",60,95,80,60,80,30,405,67.5,20.766559657295183,1.0
48,Venonat,Bug,Poison,"['Run Away', 'Tinted Lens']",60,55,50,40,55,45,305,50.833333333333336,6.718548123582125,1.0
49,Venomoth,Bug,Poison,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",70,65,60,90,75,90,450,75.0,11.547005383792516,1.0
50,Diglett,Ground,,"['Arena Trap', 'Sand Force', 'Sand Veil']",10,55,25,35,45,95,265,44.16666666666666,26.83540364684103,1.0
51,Dugtrio,Ground,,"['Arena Trap', 'Sand Force', 'Sand Veil']",35,100,50,50,70,120,425,70.83333333333333,30.05781466145239,1.0
52,Meowth,Normal,,"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90,290,48.333333333333336,18.856180831641268,1.0
53,Persian,Normal,,"['Limber', 'Technician', 'Unnerve']",65,70,60,65,65,115,440,73.33333333333333,18.856180831641268,1.0
54,Psyduck,Water,,"['Cloud Nine', 'Damp', 'Swift Swim']",50,52,48,65,50,55,320,53.333333333333336,5.647024782032472,1.0
55,Golduck,Water,,"['Cloud Nine', 'Damp', 'Swift Swim']",80,82,78,95,80,85,500,83.33333333333333,5.647024782032472,1.0
56,Mankey,Fighting,,"['Anger Point', 'Defiant', 'Vital Spirit']",40,80,35,35,45,70,305,50.833333333333336,17.658016750347574,1.0
57,Primeape,Fighting,,"['Anger Point', 'Defiant', 'Vital Spirit']",65,105,60,60,70,95,455,75.83333333333333,17.658016750347574,1.0
58,Growlithe,Fire,,"['Flash Fire', 'Intimidate', 'Justified']",55,70,45,70,50,60,350,58.333333333333336,9.428090415820634,1.0
59,Arcanine,Fire,,"['Flash Fire', 'Intimidate', 'Justified']",90,110,80,100,80,95,555,92.5,10.70436048222094,1.0
60,Poliwag,Water,,"['Damp', 'Swift Swim', 'Water Absorb']",40,50,40,40,40,90,300,50.0,18.257418583505537,1.0
61,Poliwhirl,Water,,"['Damp', 'Swift Swim', 'Water Absorb']",65,65,65,50,50,90,385,64.16666666666667,13.359349618234498,1.0
62,Poliwrath,Water,Fighting,"['Damp', 'Swift Swim', 'Water Absorb']",90,95,95,70,90,70,510,85.0,10.801234497346432,1.0
63,Abra,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",25,20,15,105,55,90,310,51.66666666666666,35.079275299748645,1.0
64,Kadabra,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",40,35,30,120,70,105,400,66.66666666666667,35.079275299748645,1.0
65,Alakazam,Psychic,,"['Inner Focus', 'Magic Guard', 'Synchronize']",55,50,45,135,95,120,500,83.33333333333333,35.433819375782164,1.0
66,Machop,Fighting,,"['Guts', 'No Guard', 'Steadfast']",70,80,50,35,35,35,305,50.833333333333336,18.12380264244296,1.0
67,Machoke,Fighting,,"['Guts', 'No Guard', 'Steadfast']",80,100,70,50,60,45,405,67.5,18.65252440466616,1.0
68,Machamp,Fighting,,"['Guts', 'No Guard', 'Steadfast']",90,130,80,65,85,55,505,84.16666666666667,23.702437755546484,1.0
69,Bellsprout,Grass,Poison,"['Chlorophyll', 'Gluttony']",50,75,35,70,30,40,300,50.0,17.078251276599328,1.0
70,Weepinbell,Grass,Poison,"['Chlorophyll', 'Gluttony']",65,90,50,85,45,55,390,65.0,17.078251276599328,1.0
71,Victreebel,Grass,Poison,"['Chlorophyll', 'Gluttony']",80,105,65,100,70,70,490,81.66666666666667,15.456030825826172,1.0
72,Tentacool,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,40,35,50,100,70,335,55.833333333333336,22.80655363900668,1.0
73,Tentacruel,Water,Poison,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",80,70,65,80,120,100,515,85.83333333333333,18.800856954464127,1.0
74,Geodude,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",40,80,100,30,30,20,300,50.0,29.43920288775949,1.0
75,Graveler,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",55,95,115,45,45,35,390,65.0,29.43920288775949,1.0
76,Golem,Rock,Ground,"['Rock Head', 'Sand Veil', 'Sturdy']",80,120,130,55,65,45,495,82.5,31.98306843732581,1.0
77,Ponyta,Fire,,"['Flame Body', 'Flash Fire', 'Run Away']",50,85,55,65,65,90,410,68.33333333333333,14.624940645653536,1.0
78,Rapidash,Fire,,"['Flame Body', 'Flash Fire', 'Run Away']",65,100,70,80,80,105,500,83.33333333333333,14.624940645653536,1.0
79,Slowpoke,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",90,65,65,40,40,15,315,52.5,23.935677693908453,1.0
80,Slowbro,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,110,100,80,30,490,81.66666666666667,25.92724864350674,1.0
81,Magnemite,Electric,Steel,"['Analytic', 'Magnet Pull', 'Sturdy']",25,35,70,95,55,45,325,54.16666666666666,23.169064624096407,1.0
82,Magneton,Electric,Steel,"['Analytic', 'Magnet Pull', 'Sturdy']",50,60,95,120,70,70,465,77.5,23.40761984198023,1.0
83,Farfetch'd,Normal,Flying,"['Defiant', 'Inner Focus', 'Keen Eye']",52,90,55,58,62,60,377,62.833333333333336,12.575328579758418,1.0
84,Doduo,Normal,Flying,"['Early Bird', 'Run Away', 'Tangled Feet']",35,85,45,35,35,75,310,51.66666666666666,20.548046676563256,1.0
85,Dodrio,Normal,Flying,"['Early Bird', 'Run Away', 'Tangled Feet']",60,110,70,60,60,110,470,78.33333333333333,22.66911751455907,1.0
86,Seel,Water,,"['Hydration', 'Ice Body', 'Thick Fat']",65,45,55,45,70,45,325,54.16666666666666,10.172129679778086,1.0
87,Dewgong,Water,Ice,"['Hydration', 'Ice Body', 'Thick Fat']",90,70,80,70,95,70,475,79.16666666666667,10.172129679778084,1.0
88,Grimer,Poison,,"['Poison Touch', 'Stench', 'Sticky Hold']",80,80,50,40,50,25,325,54.16666666666666,20.08661798865658,1.0
89,Muk,Poison,,"['Poison Touch', 'Stench', 'Sticky Hold']",105,105,75,65,100,50,500,83.33333333333333,21.34374745810949,1.0
90,Shellder,Water,,"['Overcoat', 'Shell Armor', 'Skill Link']",30,65,100,45,25,40,305,50.833333333333336,25.39958442354695,1.0
91,Cloyster,Water,Ice,"['Overcoat', 'Shell Armor', 'Skill Link']",50,95,180,85,45,70,525,87.5,44.97684589504545,1.0
92,Gastly,Ghost,Poison,['Levitate'],30,35,30,100,35,80,310,51.66666666666666,27.78888666755511,1.0
93,Haunter,Ghost,Poison,['Levitate'],45,50,45,115,55,95,405,67.5,27.34806513570324,1.0
94,Gengar,Ghost,Poison,['Cursed Body'],60,65,60,130,75,110,500,83.33333333333333,27.028791233711427,1.0
95,Onix,Rock,Ground,"['Rock Head', 'Sturdy', 'Weak Armor']",35,45,160,30,45,70,385,64.16666666666667,44.66697761085799,1.0
96,Drowzee,Psychic,,"['Forewarn', 'Inner Focus', 'Insomnia']",60,48,45,43,90,42,328,54.66666666666666,16.888523387857866,1.0
97,Hypno,Psychic,,"['Forewarn', 'Inner Focus', 'Insomnia']",85,73,70,73,115,67,483,80.5,16.408839081421938,1.0
98,Krabby,Water,,"['Hyper Cutter', 'Sheer Force', 'Shell Armor']",30,105,90,25,25,50,325,54.16666666666666,32.06980234148976,1.0
99,Kingler,Water,,"['Hyper Cutter', 'Sheer Force', 'Shell Armor']",55,130,115,50,50,75,475,79.16666666666667,32.06980234148976,1.0
100,Voltorb,Electric,,"['Aftermath', 'Soundproof', 'Static']",40,30,50,55,55,100,330,55.0,21.9848432637882,1.0
101,Electrode,Electric,,"['Aftermath', 'Soundproof', 'Static']",60,50,70,80,80,150,490,81.66666666666667,32.36081306491266,1.0
102,Exeggcute,Grass,Psychic,"['Chlorophyll', 'Harvest']",60,40,80,60,45,40,325,54.16666666666666,14.264368973853074,1.0
103,Exeggutor,Grass,Psychic,"['Chlorophyll', 'Harvest']",95,95,85,125,75,55,530,88.33333333333333,21.34374745810949,1.0
104,Cubone,Ground,,"['Battle Armor', 'Lightning Rod', 'Rock Head']",50,50,95,40,50,35,320,53.333333333333336,19.507833184532707,1.0
105,Marowak,Ground,,"['Battle Armor', 'Lightning Rod', 'Rock Head']",60,80,110,50,80,45,425,70.83333333333333,22.06367049145621,1.0
106,Hitmonlee,Fighting,,"['Limber', 'Reckless', 'Unburden']",50,120,53,35,110,87,455,75.83333333333333,31.88216150486385,1.0
107,Hitmonchan,Fighting,,"['Inner Focus', 'Iron Fist', 'Keen Eye']",50,105,79,35,110,76,455,75.83333333333333,26.965512954306817,1.0
108,Lickitung,Normal,,"['Cloud Nine', 'Oblivious', 'Own Tempo']",90,55,75,60,75,30,385,64.16666666666667,19.02118701752221,1.0
109,Koffing,Poison,,"['Levitate', 'Neutralizing Gas', 'Stench']",40,65,95,60,45,35,340,56.66666666666666,20.13840995599095,1.0
110,Weezing,Poison,,"['Levitate', 'Neutralizing Gas', 'Stench']",65,90,120,85,70,60,490,81.66666666666667,20.13840995599095,1.0
111,Rhyhorn,Ground,Rock,"['Lightning Rod', 'Reckless', 'Rock Head']",80,85,95,30,30,25,345,57.5,29.5451631687264,1.0
112,Rhydon,Ground,Rock,"['Lightning Rod', 'Reckless', 'Rock Head']",105,130,120,45,45,40,485,80.83333333333333,38.23356582318154,1.0
113,Chansey,Normal,,"['Healer', 'Natural Cure', 'Serene Grace']",250,5,5,35,105,50,450,75.0,85.19585279421372,1.0
114,Tangela,Grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",65,55,115,100,40,60,435,72.5,26.25991876098121,1.0
115,Kangaskhan,Normal,,"['Early Bird', 'Inner Focus', 'Scrappy']",105,95,80,40,80,90,490,81.66666666666667,20.548046676563256,1.0
116,Horsea,Water,,"['Damp', 'Sniper', 'Swift Swim']",30,40,70,70,25,60,295,49.16666666666666,18.35226295462104,1.0
117,Seadra,Water,,"['Damp', 'Poison Point', 'Sniper']",55,65,95,95,45,85,440,73.33333333333333,19.507833184532707,1.0
118,Goldeen,Water,,"['Lightning Rod', 'Swift Swim', 'Water Veil']",45,67,60,35,50,63,320,53.333333333333336,11.115554667022044,1.0
119,Seaking,Water,,"['Lightning Rod', 'Swift Swim', 'Water Veil']",80,92,65,65,80,68,450,75.0,9.899494936611664,1.0
120,Staryu,Water,,"['Analytic', 'Illuminate', 'Natural Cure']",30,45,55,70,55,85,340,56.66666666666666,17.480147469502526,1.0
121,Starmie,Water,Psychic,"['Analytic', 'Illuminate', 'Natural Cure']",60,75,85,100,85,115,520,86.66666666666667,17.480147469502526,1.0
123,Scyther,Bug,Flying,"['Steadfast', 'Swarm', 'Technician']",70,110,80,55,80,105,500,83.33333333333333,19.075871903766,1.0
124,Jynx,Ice,Psychic,"['Dry Skin', 'Forewarn', 'Oblivious']",65,50,35,115,95,95,455,75.83333333333333,28.050054466178054,1.0
125,Electabuzz,Electric,,"['Static', 'Vital Spirit']",65,83,57,95,85,105,490,81.66666666666667,16.438437341250605,1.0
126,Magmar,Fire,,"['Flame Body', 'Vital Spirit']",65,95,57,100,85,93,495,82.5,15.997395621371206,1.0
127,Pinsir,Bug,,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",65,125,100,55,70,85,500,83.33333333333333,23.570226039551585,1.0
128,Tauros,Normal,,"['Anger Point', 'Intimidate', 'Sheer Force']",75,100,95,40,70,110,490,81.66666666666667,23.21398046197353,1.0
129,Magikarp,Water,,"['Rattled', 'Swift Swim']",20,10,55,15,20,80,200,33.333333333333336,25.440562537456245,1.0
130,Gyarados,Water,Flying,"['Intimidate', 'Moxie']",95,125,79,60,100,81,540,90.0,20.21550560007508,1.0
131,Lapras,Water,Ice,"['Hydration', 'Shell Armor', 'Water Absorb']",130,85,80,85,95,60,535,89.16666666666667,21.09831483528694,1.0
132,Ditto,Normal,,"['Imposter', 'Limber']",48,48,48,48,48,48,288,48.0,0.0,1.0
133,Eevee,Normal,,"['Adaptability', 'Anticipation', 'Run Away']",55,55,50,45,65,55,325,54.16666666666666,6.066758241067098,1.0
134,Vaporeon,Water,,"['Hydration', 'Water Absorb']",130,65,60,110,95,65,525,87.5,26.25991876098121,1.0
135,Jolteon,Electric,,"['Quick Feet', 'Volt Absorb']",65,65,60,110,95,130,525,87.5,26.25991876098121,1.0
136,Flareon,Fire,,"['Flash Fire', 'Guts']",65,130,60,95,110,65,525,87.5,26.25991876098121,1.0
137,Porygon,Normal,,"['Analytic', 'Download', 'Trace']",65,60,70,85,75,40,395,65.83333333333333,13.969212178533509,1.0
138,Omanyte,Rock,Water,"['Shell Armor', 'Swift Swim', 'Weak Armor']",35,40,100,90,55,35,355,59.16666666666666,26.36548669926062,1.0
139,Omastar,Rock,Water,"['Shell Armor', 'Swift Swim', 'Weak Armor']",70,60,125,115,70,55,495,82.5,27.195281453467864,1.0
140,Kabuto,Rock,Water,"['Battle Armor', 'Swift Swim', 'Weak Armor']",30,80,90,55,45,55,355,59.16666666666666,20.29299276980987,1.0
141,Kabutops,Rock,Water,"['Battle Armor', 'Swift Swim', 'Weak Armor']",60,115,105,65,70,80,495,82.5,20.56493779875511,1.0
142,Aerodactyl,Rock,Flying,"['Pressure', 'Rock Head', 'Unnerve']",80,105,65,60,75,130,515,85.83333333333333,24.395468613840745,1.0
143,Snorlax,Normal,,"['Gluttony', 'Immunity', 'Thick Fat']",160,110,65,65,110,30,540,90.0,41.93248541803041,1.0
144,Articuno,Ice,Flying,"['Pressure', 'Snow Cloak']",90,85,100,95,125,85,580,96.66666666666669,13.743685418725534,1.0
145,Zapdos,Electric,Flying,"['Pressure', 'Static']",90,90,85,125,90,100,580,96.66666666666669,13.437096247164249,1.0
146,Moltres,Fire,Flying,"['Flame Body', 'Pressure']",90,100,90,125,85,90,580,96.66666666666669,13.437096247164249,1.0
147,Dratini,Dragon,,"['Marvel Scale', 'Shed Skin']",41,64,45,50,50,50,300,50.0,7.094598884597588,1.0
148,Dragonair,Dragon,,"['Marvel Scale', 'Shed Skin']",61,84,65,70,70,70,420,70.0,7.094598884597588,1.0
149,Dragonite,Dragon,Flying,"['Inner Focus', 'Multiscale']",91,134,95,100,100,80,600,100.0,16.64331697709324,1.0
150,Mewtwo,Psychic,,"['Pressure', 'Unnerve']",106,110,90,154,90,130,680,113.33333333333331,22.6764684689266,1.0
151,Mew,Psychic,,['Synchronize'],100,100,100,100,100,100,600,100.0,0.0,1.0
152,Chikorita,Grass,,"['Leaf Guard', 'Overgrow']",45,49,65,49,65,45,318,53.0,8.640987597877146,2.0
153,Bayleef,Grass,,"['Leaf Guard', 'Overgrow']",60,62,80,63,80,60,405,67.5,8.902246907382429,2.0
155,Cyndaquil,Fire,,"['Blaze', 'Flash Fire']",39,52,43,60,50,65,309,51.5,8.995369179009089,2.0
156,Quilava,Fire,,"['Blaze', 'Flash Fire']",58,64,58,80,65,80,405,67.5,9.233092656309694,2.0
157,Typhlosion,Fire,,"['Blaze', 'Flash Fire']",78,84,78,109,85,100,534,89.0,11.575836902790224,2.0
158,Totodile,Water,,"['Sheer Force', 'Torrent']",50,65,64,44,48,43,314,52.333333333333336,8.919392106839767,2.0
159,Croconaw,Water,,"['Sheer Force', 'Torrent']",65,80,80,59,63,58,405,67.5,9.142392101268316,2.0
160,Feraligatr,Water,,"['Sheer Force', 'Torrent']",85,105,100,79,83,78,530,88.33333333333333,10.386957633921922,2.0
161,Sentret,Normal,,"['Frisk', 'Keen Eye', 'Run Away']",35,46,34,35,45,20,215,35.833333333333336,8.591015979239915,2.0
162,Furret,Normal,,"['Frisk', 'Keen Eye', 'Run Away']",85,76,64,45,55,90,415,69.16666666666667,16.035550782211658,2.0
163,Hoothoot,Normal,Flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,30,36,56,50,262,43.66666666666666,12.188336865854811,2.0
164,Noctowl,Normal,Flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,50,86,96,70,452,75.33333333333333,20.253943374617748,2.0
165,Ledyba,Bug,Flying,"['Early Bird', 'Rattled', 'Swarm']",40,20,30,40,80,55,265,44.16666666666666,19.238993967692,2.0
166,Ledian,Bug,Flying,"['Early Bird', 'Iron Fist', 'Swarm']",55,35,50,55,110,85,390,65.0,25.0,2.0
167,Spinarak,Bug,Poison,"['Insomnia', 'Sniper', 'Swarm']",40,60,40,40,40,30,250,41.66666666666666,8.975274678557506,2.0
168,Ariados,Bug,Poison,"['Insomnia', 'Sniper', 'Swarm']",70,90,70,60,70,40,400,66.66666666666667,14.907119849998598,2.0
169,Crobat,Poison,Flying,"['Infiltrator', 'Inner Focus']",85,90,80,70,80,130,535,89.16666666666667,19.238993967692,2.0
170,Chinchou,Water,Electric,"['Illuminate', 'Volt Absorb', 'Water Absorb']",75,38,38,56,56,67,330,55.0,13.686976778431871,2.0
171,Lanturn,Water,Electric,"['Illuminate', 'Volt Absorb', 'Water Absorb']",125,58,58,76,76,67,460,76.66666666666667,22.830291768223688,2.0
172,Pichu,Electric,,"['Lightning Rod', 'Static']",20,40,15,35,35,60,205,34.166666666666664,14.55354099714415,2.0
173,Cleffa,Fairy,,"['Cute Charm', 'Friend Guard', 'Magic Guard']",50,25,28,45,55,15,218,36.333333333333336,14.510532573119276,2.0
174,Igglybuff,Normal,Fairy,"['Competitive', 'Cute Charm', 'Friend Guard']",90,30,15,40,20,15,210,35.0,26.140645235596867,2.0
175,Togepi,Fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",35,20,65,40,65,20,245,40.833333333333336,18.57791400800663,2.0
176,Togetic,Fairy,Flying,"['Hustle', 'Serene Grace', 'Super Luck']",55,40,85,80,105,40,405,67.5,24.28133714055577,2.0
177,Natu,Psychic,Flying,"['Early Bird', 'Magic Bounce', 'Synchronize']",40,50,45,70,45,70,320,53.333333333333336,12.133516482134198,2.0
178,Xatu,Psychic,Flying,"['Early Bird', 'Magic Bounce', 'Synchronize']",65,75,70,95,70,95,470,78.33333333333333,12.133516482134198,2.0
179,Mareep,Electric,,"['Plus', 'Static']",55,40,40,65,45,35,280,46.66666666666666,10.274023338281628,2.0
180,Flaaffy,Electric,,"['Plus', 'Static']",70,55,55,80,60,45,365,60.833333333333336,11.334558757279536,2.0
181,Ampharos,Electric,,"['Plus', 'Static']",90,75,85,115,90,55,510,85.0,18.027756377319943,2.0
182,Bellossom,Grass,,"['Chlorophyll', 'Healer']",75,80,95,90,100,50,490,81.66666666666667,16.499158227686106,2.0
183,Marill,Water,Fairy,"['Huge Power', 'Sap Sipper', 'Thick Fat']",70,20,50,20,50,40,250,41.66666666666666,17.716909687891082,2.0
184,Azumarill,Water,Fairy,"['Huge Power', 'Sap Sipper', 'Thick Fat']",100,50,80,60,80,50,420,70.0,18.257418583505537,2.0
185,Sudowoodo,Rock,,"['Rattled', 'Rock Head', 'Sturdy']",70,100,115,30,65,30,410,68.33333333333333,31.97221015541813,2.0
186,Politoed,Water,,"['Damp', 'Drizzle', 'Water Absorb']",90,75,75,90,100,70,500,83.33333333333333,10.671873729054749,2.0
187,Hoppip,Grass,Flying,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",35,35,40,35,55,50,250,41.66666666666666,7.993052538854533,2.0
188,Skiploom,Grass,Flying,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",55,45,50,45,65,80,340,56.66666666666666,12.47219128924647,2.0
189,Jumpluff,Grass,Flying,"['Chlorophyll', 'Infiltrator', 'Leaf Guard']",75,55,70,55,95,110,460,76.66666666666667,20.13840995599095,2.0
190,Aipom,Normal,,"['Pickup', 'Run Away', 'Skill Link']",55,70,55,40,55,85,360,60.0,14.142135623730953,2.0
191,Sunkern,Grass,,"['Chlorophyll', 'Early Bird', 'Solar Power']",30,30,30,30,30,30,180,30.0,0.0,2.0
192,Sunflora,Grass,,"['Chlorophyll', 'Early Bird', 'Solar Power']",75,75,55,105,85,30,425,70.83333333333333,23.52599035582184,2.0
193,Yanma,Bug,Flying,"['Frisk', 'Speed Boost']",65,65,45,75,45,95,390,65.0,17.320508075688775,2.0
194,Wooper,Water,Ground,"['Damp', 'Unaware', 'Water Absorb']",55,45,45,25,25,15,210,35.0,14.142135623730953,2.0
195,Quagsire,Water,Ground,"['Damp', 'Unaware', 'Water Absorb']",95,85,85,65,65,35,430,71.66666666666667,19.72026594366539,2.0
196,Espeon,Psychic,,"['Magic Bounce', 'Synchronize']",65,65,60,130,95,110,525,87.5,26.25991876098121,2.0
197,Umbreon,Dark,,"['Inner Focus', 'Synchronize']",95,65,110,60,130,65,525,87.5,26.25991876098121,2.0
198,Murkrow,Dark,Flying,"['Insomnia', 'Prankster', 'Super Luck']",60,85,42,85,42,91,405,67.5,20.5,2.0
199,Slowking,Water,Psychic,"['Oblivious', 'Own Tempo', 'Regenerator']",95,75,80,100,110,30,490,81.66666666666667,25.92724864350674,2.0
200,Misdreavus,Ghost,,['Levitate'],60,60,60,85,85,85,435,72.5,12.5,2.0
201,Unown,Psychic,,['Levitate'],48,72,48,72,48,48,336,56.0,11.31370849898476,2.0
202,Wobbuffet,Psychic,,"['Shadow Tag', 'Telepathy']",190,33,58,33,58,33,405,67.5,55.9128786595718,2.0
203,Girafarig,Normal,Psychic,"['Early Bird', 'Inner Focus', 'Sap Sipper']",70,80,65,90,65,85,455,75.83333333333333,9.753916592266354,2.0
